English,Portuguese
period,período
political,político
player,jogador
stops,parada
secrets,Segredos
laura,Laura
repeat,repetir
photos,fotos
finds,achados
statement,declaração
suck,sugar
younger,mais jovem
china,China
humans,humanos
delicious,delicioso
particular,especial
proper,apropriado
rome,Roma
belongs,pertence
attacked,atacado
bath,banho
hired,contratado
site,local
knowledge,conhecimento
b,b
led,conduziu
guests,convidados
celebrate,comemoro
map,mapa
horn,chifre
eventually,eventualmente
pity,pena
powers,poderes
ashamed,envergonhado
assume,presumir
glasses,óculos
rise,subir
fixed,fixo
request,solicitar
officers,oficiais
pounds,libras
data,dados
carefully,com cuidado
per,por
depends,depende
jury,júri
waited,esperou
positive,positivo
attorney,advogado
direction,direção
families,famílias
clock,relógio
doin,fazendo
forces,forças
location,localização
walls,paredes
useless,sem utilidade
grant,conceder
saving,economizando
speaks,fala
fought,lutou
meal,refeição
deliver,entregar
answers,respostas
changing,mudando
temple,têmpora
scary,apavorante
millions,milhões
offered,oferecido
regular,regular
carrying,carregando
official,oficial
jacket,jaqueta
switch,trocar
grave,cova
chase,correr atrás
role,Função
odd,ímpar
sexy,sexy
faces,rostos
becomes,torna-se
closes,fecha
badly,seriamente
tall,alta
confused,confuso
affair,caso
television,televisão
shock,choque
raised,criado
panting,ofegante
pizza,pizza
image,imagem
clears,limpa
golden,dourado
patients,pacientes
watched,assistido
committed,comprometido
sexual,sexual
suffer,Sofra
arthur,Arthur
wherever,onde quer que
plate,prato
appear,aparecer
chocolate,chocolate
clever,inteligente
hm,HM
mercy,misericórdia
shots,tiros
lucy,Lucy
dealing,lidando
trap,armadilha
charges,cobranças
phil,Phil
bang,Bang
poison,tóxico
butt,bunda
drove,dirigiu
yourselves,vocês mesmos
headed,indo
babies,bebês
yellow,amarelo
soup,sopa
mystery,mistério
picking,Escolha
sat,sentado
wound,ferimento
traffic,tráfego
courage,coragem
hunt,caçar
indian,indiano
rat,rato
terms,termos
italian,italiano
emma,Emma
checking,verificando
disease,doença
managed,gerenciou
winner,vencedora
council,conselho
appointment,compromisso
monday,Segunda-feira
crack,rachadura
threat,ameaça
jenny,Jenny
physical,fisica
nation,nação
source,fonte
chose,escolheu
healthy,saudável
carl,Carl
victory,vitória
rick,Rick
stood,permaneceu
kicked,chutado
annie,Annie
disgusting,repugnante
palace,Palácio
below,abaixo de
shopping,Shopping
neighborhood,vizinhança
march,março
lips,lábios
midnight,meia-noite
piss,xixi
advantage,vantagem
pure,puro
india,Índia
aside,"a parte, de lado"
jerk,idiota
mail,correspondência
dawn,alvorecer
effect,efeito
spell,soletrar
freak,doido
wood,madeira
screwed,parafusado
enemies,inimigos
gary,Gary
awake,acordado
chuckling,rindo
vacation,período de férias
violence,violência
leo,Leo
grandmother,avó
modern,moderno
luke,Lucas
firm,empresa
prime,melhor
heh,heh
touched,tocado
talent,talento
whore,prostituta
piano,piano
license,licença
cooking,cozinhando
honour,honra
concern,interesse
moves,movimentos
available,acessível
factory,fábrica
gods,Deuses
value,valor
central,central
union,União
mirror,espelho
studio,estúdio
media,meios de comunicação
taxi,Táxi
dies,morre
iron,ferro
hearts,corações
desire,desejo
rob,roubar
claire,Claire
fred,Fred
songs,músicas
washington,Washington
monkey,macaco
pride,orgulho
pills,pílulas
miracle,milagre
swim,nadar
burned,queimado
smells,cheira
joking,brincadeira
christian,cristão
bleeding,sangramento
hook,gancho
beating,espancamento
protection,proteção
treatment,tratamento
ear,orelha
carter,Carter
metal,metal
disappear,desaparecer
grateful,grato
extremely,extremamente
treasure,tesouro
rescue,resgate
capable,capaz
passing,passagem
chatter,conversa
result,resultado
suffering,Sofrimento
sisters,irmãs
laid,liderar
governor,governador
guards,guardas
louis,Louis
text,texto
literally,literalmente
remove,remover
becoming,tornando-se
performance,atuação
stronger,mais forte
rate,avaliar
deeply,profundamente
scream,gritar
desert,deserto
vehicle,veículo
illegal,ilegal
pulling,puxar
throwing,jogando
josh,Josh
unbelievable,inacreditável
ted,Ted
zero,zero
dean,reitor
curious,curioso
sean,Sean
candy,doce
bone,osso
tied,amarrado
edge,borda
load,carregar
susan,Susan
ahh,ahh
mountains,montanhas
boom,estrondo
former,antigo
holiday,feriado
riding,equitação
scoffs,zombares
hundreds,centenas
motherfucker,filho da puta
sue,processar
bags,bolsas
stealing,roubando
appears,parece
arrive,chegar
remains,restos
decent,decente
issues,questões
tip,gorjeta
fail,falhou
bride,noiva
pissed,chateado
penny,centavo
claim,alegar
friendship,amizade
desperate,desesperado
flower,flor
dramatic,dramático
refuse,recusar
solve,resolver
theme,tema
loving,amoroso
properly,devidamente
dragon,Dragão
mostly,majoritariamente
chuck,mandril
directly,diretamente
surface,superfície
FALSE,FALSO
cast,elenco
junior,júnior
hunting,Caçando
silent,silencioso
thou,vós
egg,ovo
germany,Alemanha
punch,soco
africa,África
woke,acordou
intelligence,inteligência
borrow,pedir emprestado
winning,ganhando
falls,cai
popular,popular
escaped,escapou
witch,bruxa
convinced,convencido
warn,avisar
announcer,locutor
champagne,champanhe
dust,pó
kyle,Kyle
someday,algum dia
fallen,caído
stranger,desconhecido
presence,presença
tear,rasgar
st.,st.
internet,Internet
monsieur,Monsieur
therefore,Portanto
technology,tecnologia
tires,pneus
toast,brinde
wise,sábio
clark,Clark
americans,americanos
notes,notas
smoking,fumar
hank,Hank
ls,ls
april,abril
wolf,lobo
precious,precioso
rooms,quartos
coast,costa
treated,tratado
material,material
released,lançado
uniform,uniforme
hated,odiado
considered,considerado
rice,arroz
exchange,intercâmbio
steps,degraus
blake,Blake
convince,convencer
beast,fera
cow,vaca
files,arquivos
signs,Sinais
drag,arrastar
cab,táxi
hung,pendurado
carried,carregou
ordinary,comum
successful,bem sucedido
eve,véspera
mistakes,erros
houses,casas
chattering,conversando
brains,cérebros
japan,Japão
creature,criatura
fourth,quarto
separate,separado
cleaning,limpeza
california,Califórnia
lf,lf
ll,ll
shift,mudança
elizabeth,Elizabeth
chicago,Chicago
exact,exato
karen,Karen
goal,meta
expert,especialista
served,servido
direct,direto
score,pontuação
row,fileira
marks,Marcas
twenty,vinte
receive,receber
series,Series
section,seção
pilot,piloto
jackson,Jackson
darkness,Trevas
thy,teus
sale,oferta
destiny,destino
cure,cura
spoken,falada
armed,armado
rare,cru
helen,Helen
grade,avaliar
juice,suco
wide,largo
tower,torre
solution,solução
schedule,cronograma
explosion,explosão
wheel,roda
cigarette,cigarro
julie,Julie
fruit,fruta
blew,estraguei
victor,vencedor
talks,conversas
sacrifice,sacrifício
range,variar
button,botão
reports,relatórios
prisoner,prisioneiro
pie,torta
effort,esforço
youth,juventude
pot,Panela
eaten,comido
taylor,Taylor
knees,joelhos
garage,garagem
parking,estacionamento
ambulance,ambulância
staring,encarando
chances,chances
circumstances,circunstâncias
sin,pecado
gordon,Gordon
progress,progresso
unusual,incomum
county,município
stairs,escadas
campaign,campanha
mon,seg
vision,visão
reporter,repórter
equipment,equipamento
moments,momentos
joey,Joey
mass,massa
alien,estrangeiro
trapped,encurralado
helps,ajuda
route,rota
defend,defender
trace,vestígio
nasty,desagradável
tests,testes
magazine,revista
rocks,pedras
dump,jogar fora
rude,rude
searching,procurando
clue,dica
connected,conectado
amen,um homem
pushed,empurrado
merry,alegre
zone,zona
senior,Senior
closing,fechamento
freeze,congelar
emperor,imperador
incident,incidente
snake,cobra
mexico,México
lily,lírio
